 	X	Y
1	791	1
2	798	31
3	774	0
4	796	3
5	767	4
6	781	2
7	803	59
8	802	5
9	773	53
10	794	44
11	779	24
12	767	30
13	811	3
14	792	21
15	759	8
16	780	40
17	776	265
18	917	82
19	824	0
20	794	63
21	941	1044
22	961	176
23	923	82
24	787	58
25	923	483
26	778	1043
27	780	52
28	878	1022
29	704	1045
30	841	930
31	394	694
32	879	461
33	774	1020
34	917	110
35	903	1022
36	881	1045
37	891	979
38	682	1040
39	912	1042
40	824	565
41	912	87
42	840	1024
43	238	767
44	900	419
45	904	992
46	943	995
47	398	685
48	857	1031
49	770	1043
50	877	170
51	968	136
52	747	1043
53	759	22
54	753	290
55	949	963
56	918	988
57	652	999
58	904	953
59	818	1009
60	784	277
61	706	962
62	189	1044
63	762	1019
64	658	981
65	828	1043
66	809	44
67	950	86
68	956	364
69	865	982
70	781	1023
71	792	1019
72	842	968
73	833	292
74	852	925
75	720	1045
76	801	532
77	628	1035
78	796	962
79	654	1022
80	955	1017
81	958	142
82	790	1044
83	558	1044
84	597	1020
85	614	616
86	965	1042
87	929	375
88	803	90
89	897	133
90	865	180
91	341	694
