 	X	Y
1	701	925
2	895	741
3	282	855
4	276	825
5	923	666
6	273	842
7	693	849
8	701	826
9	888	635
10	815	726
11	270	869
12	707	867
13	264	822
14	598	943
15	708	845
16	781	769
17	695	878
18	718	865
19	717	714
20	929	635
21	919	610
22	713	867
23	899	647
24	632	894
25	618	1006
26	694	826
27	680	925
28	943	642
29	720	961
30	631	905
31	913	646
32	783	930
33	283	824
34	788	923
35	717	897
36	724	707
37	913	607
38	734	934
39	692	869
40	840	1045
41	263	879
42	886	944
43	699	847
44	638	824
45	860	974
46	636	875
47	789	756
48	770	935
49	707	1008
50	716	833
51	725	759
52	730	1043
53	848	1022
54	635	1045
55	687	835
56	443	872
57	779	902
58	901	728
59	920	639
60	664	1046
61	751	1045
62	840	926
63	285	882
64	712	908
65	760	1017
66	807	1024
67	827	980
68	689	969
69	725	738
70	741	954
71	686	813
72	852	1014
73	769	972
74	843	978
75	607	955
76	865	897
77	659	998
78	907	624
79	960	1044
80	732	720
81	695	1044
82	821	1043
83	907	639
84	848	925
85	798	1045
86	898	1044
87	889	804
88	468	931
89	692	982
90	723	993
91	811	851
92	674	939
93	719	913
94	680	1020
95	933	1021
96	624	882
97	849	891
98	802	929
99	362	1030
100	649	1002
101	842	994
102	941	961
103	838	954
104	634	986
105	888	1016
106	315	919
107	895	878
108	959	1025
109	811	950
110	661	943
111	598	1017
112	600	1045
113	617	961
114	207	1017
115	202	1046
116	634	1016
117	551	951
118	358	964
119	325	988
