 	X	Y
1	711	5
2	501	663
3	516	664
4	553	2
5	648	68
6	557	7
7	703	4
8	502	635
9	504	655
10	686	24
11	498	655
12	555	106
13	518	639
14	670	36
15	544	0
16	552	135
17	508	665
18	736	3
19	730	45
20	718	0
21	691	22
22	563	2
23	555	125
24	648	93
25	600	146
26	530	632
27	539	631
28	644	98
29	176	309
30	0	182
31	732	0
32	656	22
33	180	313
34	703	18
35	665	28
36	212	249
37	625	73
38	642	107
39	697	19
40	652	314
41	631	76
42	647	10
43	564	129
44	754	3
45	562	105
46	620	83
47	727	0
48	26	545
49	729	30
50	670	73
51	533	4
52	570	117
53	637	87
54	613	36
55	626	92
56	657	3
57	760	9
58	655	93
59	575	194
60	744	7
61	683	1044
62	569	219
63	708	1041
64	485	682
65	705	30
66	788	26
67	942	1041
68	736	25
69	822	6
70	631	105
71	114	676
72	646	32
73	528	660
74	17	535
75	663	69
76	784	1042
77	659	50
78	928	1023
79	630	1043
80	763	34
81	812	2
82	689	56
83	774	4
84	666	94
85	703	88
86	740	45
87	683	68
88	558	90
89	666	55
90	547	115
91	803	7
92	665	6
93	679	42
94	821	274
95	857	1044
96	836	1020
97	902	1046
98	721	54
99	896	1014
100	767	475
101	704	60
102	694	107
103	617	963
104	835	1005
105	794	28
106	651	1042
107	784	982
108	875	1022
109	833	6
110	793	1044
111	179	612
112	580	207
113	749	30
114	888	998
115	694	46
116	793	235
117	893	1028
118	871	1043
119	659	1023
120	810	56
121	918	1047
122	773	1000
123	720	1003
124	637	287
125	633	149
126	795	1021
127	0	226
128	667	182
129	696	61
130	952	1044
131	680	181
132	629	59
133	757	51
134	734	948
135	761	985
136	855	967
137	719	1022
138	788	1000
139	587	231
140	736	996
141	190	292
142	671	148
143	679	353
144	0	203
145	259	715
146	4	620
147	955	1022
148	31	534
149	519	7
150	659	626
151	206	7
152	619	678
153	196	266
154	343	586
155	350	675
