 	X	Y
1	784	4
2	656	30
3	651	63
4	647	49
5	665	47
6	659	50
7	663	57
8	680	136
9	638	68
10	662	32
11	792	4
12	623	70
13	825	19
14	832	5
15	679	691
16	634	88
17	633	105
18	797	25
19	651	320
20	782	31
21	576	189
22	804	2
23	764	62
24	785	42
25	775	32
26	837	5
27	776	8
28	751	73
29	809	54
30	778	56
31	790	25
32	821	46
33	546	629
34	765	80
35	797	45
36	889	1008
37	878	1000
38	583	622
39	806	40
40	646	121
41	670	1042
42	682	162
43	787	51
44	734	529
45	770	1026
46	660	173
47	671	971
48	511	623
49	927	117
50	782	1041
51	0	667
52	640	109
53	621	86
54	952	1008
55	804	28
56	627	86
57	644	82
58	580	208
59	0	705
60	743	963
61	939	1027
62	756	67
63	873	191
64	245	654
65	4	659
66	791	326
67	536	658
68	662	1023
69	796	1041
70	652	91
71	922	996
72	729	1021
73	641	1044
74	904	996
75	897	1020
76	685	1021
77	884	166
78	900	988
79	634	1045
80	729	274
81	817	1044
82	895	131
83	631	988
84	689	1049
85	724	977
86	864	1024
87	251	1043
88	873	975
89	709	1019
90	767	990
91	698	606
92	633	139
93	260	673
94	790	344
95	745	1000
96	744	1048
97	207	1022
98	734	128
99	722	542
100	838	937
101	635	966
102	733	968
103	0	736
104	483	667
105	866	1008
106	906	975
107	649	1042
108	752	161
109	180	1044
110	815	224
111	755	422
112	650	958
113	971	1046
114	971	952
115	649	14
116	301	707
117	235	709
118	744	584
119	874	161
120	881	392
