 	X	Y
1	814	984
2	702	1001
3	812	1022
4	693	934
5	717	1024
6	715	1008
7	814	1003
8	805	1020
9	401	1000
10	240	1044
11	392	1000
12	400	1019
13	698	992
14	649	1043
15	235	1030
16	292	1046
17	407	1013
18	701	1023
19	390	983
20	654	1045
21	696	1022
22	805	1000
23	698	941
24	645	1048
25	654	1017
26	291	1021
27	628	1021
28	651	1025
29	285	1046
30	462	1025
31	804	990
32	621	1025
33	659	1025
34	687	922
35	810	993
36	302	1047
37	395	1020
38	622	1044
39	239	1022
40	695	1047
41	459	1042
42	611	1045
43	702	1040
44	710	1009
45	667	1044
46	279	1049
47	810	1042
48	701	979
49	640	1004
50	275	1023
51	636	1045
52	685	1047
53	715	1046
54	814	1045
55	642	1021
56	692	995
57	797	982
58	667	1030
59	720	993
60	412	1018
61	465	1044
62	468	1033
63	294	1031
64	273	1049
65	302	1021
66	394	1044
67	629	999
68	795	1004
69	383	1047
70	366	1008
71	676	1026
72	676	947
73	376	1014
74	679	985
75	184	1048
