 	X	Y
1	880	904
2	695	935
3	909	975
4	713	1020
5	656	1046
6	664	1042
7	845	1010
8	721	1008
9	862	896
10	703	1025
11	399	973
12	719	1023
13	412	1020
14	868	907
15	848	1041
16	921	850
17	669	982
18	366	1017
19	697	959
20	783	1025
21	840	987
22	524	1040
23	659	1021
24	458	1045
25	721	1042
26	624	1025
27	661	1033
28	927	845
29	838	974
30	808	1043
31	714	997
32	372	1002
33	459	1033
34	844	1047
35	407	1010
36	653	1014
37	647	998
38	872	875
39	534	1048
40	737	1048
41	787	1038
42	611	1046
43	240	1045
44	296	1041
45	818	1030
46	873	899
47	637	1022
48	364	1042
49	917	1000
50	666	992
51	397	1031
52	461	1014
53	639	998
54	362	1026
55	622	1044
56	795	1044
57	663	974
58	652	1000
59	397	990
60	763	1046
61	668	1025
62	836	1029
63	842	1032
64	703	936
65	232	1020
66	390	1002
67	375	1033
68	235	1049
69	398	1006
70	813	1048
71	647	975
72	619	1004
73	508	1045
74	914	1013
75	707	978
76	781	1043
77	697	1046
78	753	1045
79	810	988
80	894	982
81	824	1044
82	658	1000
83	502	944
84	468	1047
85	893	968
86	757	1030
87	701	921
88	674	1042
89	861	914
90	387	1043
91	501	968
92	381	978
93	855	890
94	409	990
95	929	992
96	850	1026
97	413	1044
98	797	1023
99	390	1030
100	920	1044
101	871	1020
102	831	974
103	874	1045
104	432	1044
105	265	992
106	330	1025
107	189	1043
108	876	957
