 	X	Y
1	790	2
2	768	2
3	772	55
4	798	31
5	761	6
6	767	34
7	802	58
8	794	43
9	796	3
10	780	53
11	764	43
12	805	0
13	823	3
14	780	7
15	792	24
16	923	484
17	785	26
18	961	176
19	922	85
20	779	24
21	777	272
22	784	277
23	900	420
24	705	1046
25	882	457
26	787	53
27	239	769
28	968	140
29	658	981
30	596	1020
31	682	1039
32	773	1020
33	871	1018
34	770	1009
35	841	930
36	837	5
37	865	981
38	398	686
39	658	963
40	778	1042
41	679	964
42	804	993
43	220	1024
44	911	1009
45	917	111
46	875	1046
47	668	1028
48	959	357
49	897	133
50	752	287
51	959	146
52	949	91
53	792	1018
54	857	1031
55	755	935
56	941	1043
57	632	1016
58	878	1021
59	674	1045
60	211	1016
61	362	753
62	403	705
63	901	979
64	346	677
65	835	1017
66	257	776
67	801	533
68	842	1039
69	903	958
70	887	135
71	771	1043
72	510	746
73	944	994
74	918	1005
75	204	1016
76	965	1041
77	745	315
78	721	1048
79	743	635
80	813	920
81	878	170
82	310	1046
83	664	950
84	741	661
85	834	297
