 	X	Y
1	281	858
2	276	827
3	923	666
4	701	926
5	598	943
6	896	740
7	694	826
8	270	867
9	718	870
10	708	846
11	913	636
12	889	636
13	273	842
14	702	826
15	901	726
16	693	849
17	888	821
18	632	907
19	899	647
20	730	1043
21	264	823
22	315	919
23	682	816
24	943	641
25	285	881
26	929	634
27	681	926
28	716	832
29	849	890
30	811	852
31	698	849
32	705	885
33	883	821
34	699	882
35	919	610
36	618	1006
37	758	1023
38	718	942
39	913	606
40	838	1044
41	724	705
42	680	836
43	807	1023
44	665	1046
45	885	620
46	892	663
47	717	713
48	828	723
49	839	1003
50	848	1045
51	933	663
52	693	808
53	633	884
54	852	1015
55	860	974
56	888	805
57	900	1017
58	847	924
59	275	891
60	738	1043
61	815	726
62	827	981
63	779	903
64	659	998
65	313	909
66	208	921
67	806	1001
68	618	961
69	696	908
70	859	944
71	686	1046
72	840	927
73	875	958
74	638	825
75	502	1044
76	751	1045
77	779	944
78	848	1024
79	316	1023
80	843	978
81	941	962
82	822	1044
83	792	951
84	712	755
85	675	982
86	462	1047
87	712	908
88	898	1044
89	606	935
90	597	914
91	202	1020
92	186	1019
93	788	757
94	713	1023
95	695	944
96	634	1017
97	723	993
98	769	961
99	784	1029
100	835	908
101	717	898
102	595	1046
103	919	1022
104	638	1006
105	263	881
106	877	983
107	469	929
108	636	1045
109	759	1043
110	693	990
111	720	914
112	961	685
113	708	739
114	556	933
115	880	640
