 	X	Y
1	655	55
2	652	48
3	632	61
4	634	71
5	648	35
6	782	16
7	650	72
8	658	47
9	645	65
10	627	69
11	0	693
12	646	57
13	779	5
14	631	108
15	801	6
16	787	8
17	927	129
18	631	95
19	785	34
20	641	75
21	766	8
22	578	181
23	810	5
24	681	651
25	832	45
26	577	201
27	794	68
28	796	36
29	662	63
30	790	60
31	814	52
32	836	0
33	672	996
34	646	116
35	775	32
36	823	26
37	839	20
38	672	1021
39	798	51
40	661	151
41	363	662
42	805	37
43	758	1044
44	777	180
45	829	5
46	939	1046
47	641	124
48	896	139
49	675	962
50	769	1000
51	807	86
52	666	156
53	896	1044
54	820	65
55	777	105
56	626	91
57	916	1021
58	738	1002
59	684	143
60	649	992
61	675	670
62	295	708
63	933	129
64	752	997
65	753	1046
66	789	1045
67	639	92
68	738	1027
69	811	1046
70	865	1021
71	244	663
72	903	1025
73	303	725
74	725	1049
75	760	1002
76	582	632
77	724	1002
78	782	1026
79	883	97
80	667	1024
81	0	728
82	873	1011
83	791	225
84	646	1013
85	512	616
86	890	987
87	762	1026
88	619	1044
89	790	1026
90	727	271
91	858	992
92	849	1025
93	729	548
94	882	970
95	635	1017
96	866	1046
97	838	957
98	882	169
99	773	1047
100	766	230
101	698	1012
102	890	109
103	772	318
104	694	999
105	591	632
106	622	1024
107	636	967
108	940	96
109	837	276
110	124	748
111	902	144
112	684	798
113	639	746
114	652	8
115	195	1046
116	576	220
117	962	323
