 	X	Y
1	265	820
2	260	812
3	813	634
4	898	510
5	275	831
6	287	829
7	599	623
8	255	811
9	893	507
10	874	1025
11	814	1020
12	215	801
13	394	774
14	920	1042
15	887	1044
16	951	1044
17	621	641
18	254	922
19	929	1022
20	768	998
21	825	995
22	820	735
23	212	825
24	182	1023
25	803	718
26	724	1006
27	663	1045
28	918	607
29	789	998
30	903	1021
31	400	768
32	269	804
33	761	1045
34	866	997
35	784	1027
36	293	797
37	896	1023
38	824	703
39	932	342
40	806	1021
41	804	991
42	886	1028
43	648	995
44	758	1004
45	666	1021
46	862	620
47	895	1001
48	870	923
49	697	999
50	708	1018
51	913	623
52	885	520
53	817	967
54	273	756
55	853	1009
56	933	1000
57	261	871
58	945	1030
59	842	1014
60	748	948
61	910	1005
62	790	1031
63	920	962
64	723	986
65	806	1045
66	727	708
67	941	1049
68	679	1044
69	810	611
70	195	1049
71	960	1027
72	778	1043
73	842	958
74	196	804
75	806	972
76	953	998
77	903	946
78	218	996
79	696	771
80	421	803
81	723	734
82	742	761
83	375	1047
84	782	921
