 	X	Y
1	282	854
2	276	824
3	273	840
4	922	669
5	895	741
6	773	920
7	768	929
8	781	769
9	631	894
10	700	922
11	701	826
12	692	869
13	693	849
14	444	875
15	913	646
16	264	821
17	771	909
18	696	830
19	708	856
20	759	1015
21	815	726
22	713	867
23	683	823
24	890	646
25	931	649
26	765	951
27	782	929
28	920	614
29	721	946
30	717	714
31	720	961
32	263	880
33	725	739
34	752	927
35	788	922
36	734	934
37	783	744
38	283	823
39	901	652
40	918	640
41	913	608
42	841	1045
43	687	835
44	447	866
45	929	636
46	907	625
47	733	742
48	798	1045
49	757	949
50	635	1045
51	789	757
52	907	639
53	270	870
54	705	1032
55	715	955
56	256	818
57	718	912
58	732	721
59	646	1025
60	884	1046
61	870	1049
62	838	954
63	848	1022
64	899	627
65	695	1044
66	709	832
67	951	1044
68	717	896
69	468	932
70	871	1025
71	649	1002
72	617	975
73	944	645
74	760	1044
75	716	1044
76	627	1045
77	862	1041
78	772	1007
79	865	896
80	815	1049
81	782	1046
82	769	972
83	933	1021
84	692	981
85	191	1024
86	607	955
87	194	1043
88	894	905
89	912	854
90	689	969
91	618	1006
92	680	924
93	681	1020
94	597	1017
95	878	1003
96	842	994
97	797	993
98	358	964
99	480	992
100	638	824
101	732	1022
102	623	881
103	642	958
104	886	944
105	939	851
106	928	1043
107	661	943
108	736	1045
109	197	964
110	908	666
111	750	976
112	840	883
113	405	968
114	928	877
115	887	813
116	816	839
