 	X	Y
1	926	140
2	799	3
3	779	8
4	785	0
5	679	703
6	774	22
7	837	53
8	833	74
9	680	720
10	900	157
11	631	102
12	808	7
13	645	87
14	781	55
15	786	16
16	673	681
17	631	72
18	770	5
19	782	27
20	643	68
21	817	4
22	839	35
23	802	79
24	798	25
25	342	666
26	800	1026
27	807	29
28	777	35
29	900	997
30	916	1042
31	806	50
32	765	1045
33	932	1043
34	757	0
35	675	649
36	646	57
37	337	674
38	639	1003
39	849	1024
40	678	677
41	789	57
42	364	674
43	879	1005
44	772	251
45	880	178
46	781	83
47	325	684
48	787	1045
49	680	1040
50	824	29
51	765	311
52	809	1017
53	731	279
54	752	999
55	604	1041
56	654	954
57	910	984
58	821	73
59	834	27
60	818	54
61	0	771
62	637	734
63	881	440
64	778	261
65	943	111
66	817	82
67	731	1044
68	853	921
69	809	82
70	824	989
71	187	1021
72	831	1021
73	657	1044
74	746	10
75	892	116
76	708	1045
77	750	1028
78	660	969
79	876	1017
80	909	953
81	812	171
82	626	1026
83	809	994
84	918	131
85	866	1043
86	960	331
87	710	938
88	882	984
89	729	984
90	921	1016
91	890	166
92	824	949
93	743	632
94	834	279
95	547	57
96	788	235
97	849	975
98	962	1008
99	240	1045
100	240	1003
101	874	916
102	721	939
103	243	670
104	123	735
