 	X	Y
1	269	840
2	280	860
3	273	842
4	284	855
5	286	884
6	268	869
7	272	865
8	278	873
9	264	888
10	928	637
11	272	884
12	283	830
13	268	918
14	698	856
15	271	892
16	939	671
17	727	741
18	924	628
19	273	913
20	795	759
21	895	633
22	937	680
23	284	905
24	702	833
25	279	895
26	894	643
27	885	612
28	920	595
29	879	609
30	262	916
31	840	793
32	711	1019
33	901	618
34	272	816
35	819	963
36	679	990
37	887	1044
38	290	845
39	692	799
40	703	994
41	823	713
42	934	624
43	266	778
44	684	924
45	277	924
46	671	994
47	751	918
48	750	1011
49	797	1044
50	912	958
51	816	742
52	653	1001
53	291	766
54	809	719
55	889	1021
56	763	1019
57	880	1047
58	905	1025
59	917	994
60	686	1045
61	691	864
62	638	801
63	711	1043
64	721	1043
65	637	838
66	722	1002
67	897	968
68	933	1044
69	870	1020
70	816	721
71	706	858
72	699	925
73	769	991
74	703	977
75	715	707
76	943	641
77	720	974
78	715	721
79	795	981
80	843	1043
81	820	1019
82	794	734
83	886	977
84	789	768
85	945	1034
86	742	848
87	900	719
88	801	836
89	737	855
90	857	834
91	901	643
92	761	858
93	785	721
94	167	961
95	263	997
96	575	899
97	314	1020
98	835	812
