 	X	Y
1	657	46
2	782	5
3	778	3
4	839	35
5	926	137
6	651	41
7	778	18
8	800	4
9	830	39
10	652	87
11	834	37
12	646	109
13	772	0
14	646	83
15	768	6
16	795	30
17	806	62
18	630	82
19	652	101
20	630	58
21	778	44
22	831	4
23	634	62
24	823	41
25	631	96
26	898	147
27	814	59
28	802	80
29	625	84
30	630	112
31	813	67
32	647	59
33	337	671
34	885	996
35	639	64
36	787	53
37	720	1011
38	797	1044
39	658	1014
40	809	34
41	730	1023
42	764	1046
43	927	1002
44	342	665
45	773	60
46	932	136
47	582	635
48	667	681
49	782	57
50	826	965
51	906	1001
52	811	7
53	917	130
54	809	78
55	726	258
56	881	177
57	673	1042
58	775	1037
59	882	985
60	757	1028
61	673	655
62	331	686
63	840	1043
64	771	313
65	744	998
66	312	725
67	776	1002
68	655	72
69	947	1042
70	0	718
71	865	1044
72	717	1042
73	0	786
74	638	736
75	697	970
76	640	1007
77	863	948
78	803	1002
79	872	1014
80	657	18
81	891	114
82	687	1021
83	888	1015
84	843	1000
85	629	1045
86	364	671
87	0	704
88	832	937
89	760	955
90	928	980
91	966	1013
92	901	943
93	794	181
94	958	1015
95	943	106
96	588	1022
97	834	266
98	765	77
99	770	243
100	243	669
101	303	718
102	254	1043
103	960	327
104	123	739
105	729	537
