 	X	Y
1	717	1011
2	710	1006
3	880	903
4	873	899
5	235	1047
6	240	1045
7	655	1044
8	667	990
9	863	896
10	721	1002
11	702	1014
12	400	978
13	669	981
14	375	1029
15	368	1010
16	782	1021
17	843	995
18	842	1012
19	841	1044
20	766	1046
21	409	996
22	373	1045
23	908	973
24	413	997
25	696	929
26	814	1020
27	661	969
28	396	1025
29	233	1021
30	703	988
31	646	996
32	412	1029
33	863	878
34	386	1016
35	737	1047
36	614	1031
37	456	1047
38	607	1046
39	786	1029
40	407	1011
41	848	1039
42	363	1036
43	529	1045
44	698	944
45	631	1045
46	853	1043
47	462	1022
48	652	1026
49	750	1044
50	848	1018
51	661	1025
52	726	1025
53	624	1025
54	689	934
55	721	1043
56	390	978
57	641	978
58	864	1045
59	808	1042
60	367	1025
61	871	887
62	622	996
63	851	996
64	384	988
65	632	994
66	657	1003
67	646	1020
68	912	1001
69	707	977
70	454	1026
71	870	909
72	296	1047
73	879	873
74	830	1046
75	871	1022
76	471	1041
77	703	935
78	811	989
79	522	1033
80	767	1029
81	604	1026
82	874	1045
83	894	1048
84	413	1044
85	903	995
86	880	1018
87	859	1013
88	773	1034
89	913	1015
90	699	1043
91	510	1049
92	817	991
93	889	995
94	408	969
95	503	955
96	315	1018
97	877	953
98	277	997
99	266	997
100	432	1044
101	188	1044
