 	X	Y
1	788	40
2	792	52
3	793	36
4	782	2
5	790	0
6	771	51
7	780	53
8	776	61
9	774	4
10	764	5
11	807	4
12	922	499
13	803	45
14	796	5
15	801	1
16	769	40
17	799	60
18	596	623
19	0	791
20	780	28
21	887	470
22	732	1005
23	776	37
24	245	782
25	905	448
26	930	289
27	815	1000
28	430	714
29	893	923
30	883	1044
31	913	103
32	724	1023
33	879	1021
34	260	788
35	902	478
36	689	1043
37	861	968
38	757	1025
39	786	1002
40	969	164
41	936	389
42	860	1016
43	739	644
44	253	788
45	919	101
46	783	1021
47	191	1043
48	863	1044
49	657	1042
50	705	1027
51	636	1020
52	789	984
53	714	1023
54	809	985
55	770	1021
56	877	1006
57	673	1043
58	801	1028
59	708	1007
60	729	735
61	400	706
62	220	1014
63	821	1016
64	912	1011
65	891	966
66	817	1043
67	906	1048
68	870	989
69	211	767
70	721	1008
71	880	157
72	840	1020
73	881	500
74	393	720
75	950	1019
76	768	989
77	891	457
78	897	985
79	728	688
80	927	386
81	739	0
82	288	794
83	623	636
84	906	995
85	939	1043
86	783	1040
87	829	952
88	663	1010
89	865	892
90	166	1042
91	785	939
92	748	985
93	956	325
94	261	1018
95	820	557
96	284	754
97	822	629
98	385	766
99	817	670
100	190	1004
101	970	94
