 	X	Y
1	771	39
2	784	0
3	770	30
4	789	6
5	768	50
6	774	4
7	793	45
8	795	51
9	801	28
10	798	60
11	796	7
12	790	30
13	782	52
14	970	152
15	394	705
16	902	437
17	777	39
18	914	98
19	787	44
20	923	492
21	763	38
22	802	0
23	362	751
24	924	92
25	768	1007
26	728	703
27	778	997
28	241	774
29	698	1042
30	948	100
31	915	989
32	960	90
33	884	465
34	396	693
35	891	477
36	844	961
37	641	1046
38	873	989
39	929	381
40	729	1025
41	922	1043
42	962	180
43	914	1025
44	757	1049
45	652	975
46	923	392
47	911	1042
48	954	88
49	721	964
50	800	542
51	685	1046
52	733	974
53	823	1044
54	756	1019
55	839	1006
56	856	1024
57	257	782
58	772	1041
59	794	1024
60	870	1044
61	788	998
62	936	1018
63	814	1020
64	939	381
65	965	169
66	862	920
67	903	1047
68	890	954
69	941	298
70	671	1011
71	909	983
72	751	980
73	0	785
74	957	1045
75	723	1023
76	711	1001
77	278	791
78	948	511
79	635	1023
80	716	930
81	626	1020
82	430	721
83	677	1044
84	602	621
85	245	1044
86	620	661
87	793	299
88	753	1000
89	741	626
90	213	1044
91	789	346
