 	X	Y
1	818	1021
2	241	1046
3	704	1007
4	716	1008
5	693	934
6	235	1032
7	400	1019
8	808	1009
9	814	984
10	812	1023
11	406	1019
12	819	994
13	392	1000
14	814	1003
15	654	1018
16	705	992
17	659	1026
18	805	1020
19	399	1008
20	648	1044
21	654	1045
22	403	1000
23	819	974
24	465	1044
25	390	982
26	623	1045
27	661	1045
28	695	1047
29	230	1024
30	284	1046
31	698	941
32	696	1022
33	611	1046
34	702	983
35	634	1019
36	823	1013
37	462	1025
38	637	1045
39	702	1040
40	459	1043
41	239	1022
42	613	1024
43	671	1046
44	645	1006
45	695	988
46	294	1031
47	640	1004
48	693	999
49	383	1006
50	306	1047
51	621	1025
52	289	1018
53	679	1046
54	676	948
55	639	1029
56	454	1024
57	720	1040
58	275	1021
59	715	1047
60	375	1023
61	796	981
62	712	1017
63	184	1047
64	383	1047
65	814	1044
66	820	1044
67	691	978
68	635	1005
69	629	1002
70	655	993
71	405	974
72	303	1020
73	366	1010
74	669	1001
75	669	955
76	684	965
77	393	1044
78	731	1046
79	796	1005
80	697	908
