 	X	Y
1	220	1001
2	872	905
3	923	836
4	921	634
5	325	1014
6	635	895
7	709	866
8	716	866
9	944	820
10	428	1030
11	656	1009
12	885	978
13	191	1031
14	770	981
15	823	1004
16	230	999
17	659	1047
18	645	978
19	645	895
20	396	952
21	804	979
22	557	1045
23	688	1021
24	223	989
25	651	1026
26	878	1045
27	630	1022
28	808	996
29	920	644
30	602	1042
31	862	901
32	768	1004
33	742	1017
34	634	920
35	640	997
36	639	1020
37	925	962
38	625	905
39	190	1011
40	829	1045
41	429	1019
42	178	1044
43	832	967
44	724	1044
45	659	1029
46	847	1020
47	744	1000
48	561	1001
49	650	995
50	785	1045
51	234	977
52	211	1009
53	841	1044
54	854	1045
55	835	1020
56	852	977
57	717	1042
58	344	1045
59	775	988
60	304	1044
61	312	1042
62	787	1015
63	865	926
64	269	1044
65	622	1006
66	752	991
67	670	994
68	705	934
69	294	820
70	929	833
71	871	883
72	662	977
73	243	1026
74	220	979
75	352	1018
76	420	1044
77	939	972
78	250	796
79	749	1047
80	638	1047
81	865	973
82	896	953
83	674	983
84	357	1048
85	634	1005
86	204	1023
87	760	1024
88	509	1044
89	856	1027
90	546	1043
91	900	937
92	765	1045
93	561	1025
94	968	1039
95	916	937
96	298	1027
97	633	869
98	944	1045
99	695	952
100	256	1022
101	525	1020
102	213	980
103	408	1041
104	685	821
105	446	1042
106	363	1026
107	393	982
108	272	813
109	445	989
110	529	991
111	712	975
112	878	866
113	975	951
