 	X	Y
1	872	914
2	704	853
3	647	900
4	788	964
5	222	1022
6	916	641
7	667	984
8	942	828
9	658	1007
10	745	986
11	703	873
12	771	997
13	640	905
14	695	850
15	652	1009
16	671	996
17	698	932
18	920	632
19	716	868
20	921	854
21	907	634
22	624	1024
23	275	822
24	765	968
25	696	838
26	617	1044
27	621	889
28	718	757
29	783	970
30	634	897
31	832	952
32	871	935
33	333	982
34	662	1021
35	652	992
36	755	1004
37	663	1008
38	304	1028
39	749	963
40	665	1046
41	630	1024
42	627	1009
43	578	1045
44	798	991
45	328	1045
46	636	874
47	813	1006
48	693	1026
49	192	1010
50	712	844
51	314	1044
52	626	867
53	779	1011
54	626	895
55	863	908
56	283	804
57	930	834
58	843	1043
59	679	1044
60	832	1026
61	292	1030
62	473	957
63	454	1018
64	892	926
65	790	980
66	288	830
67	868	972
68	680	989
69	645	1043
70	588	1026
71	589	1047
72	791	1011
73	697	1000
74	797	1044
75	816	1048
76	586	1012
77	698	1045
78	238	1014
79	271	1025
80	231	1028
81	838	1011
82	758	1047
83	886	990
84	688	985
85	800	1026
86	690	855
87	725	728
88	630	1045
89	516	1001
90	299	1016
91	678	965
92	256	1023
93	931	1044
94	911	651
95	916	963
96	909	1045
97	194	984
98	923	922
99	278	811
100	872	983
101	811	1020
102	430	1044
103	354	1045
104	798	969
105	526	1012
106	720	738
107	924	825
108	887	968
109	248	1018
110	220	970
111	925	949
112	708	982
113	256	1041
114	351	1015
115	265	806
116	383	1042
117	860	1045
118	281	1041
119	902	947
120	910	933
121	236	1042
122	395	947
123	172	1028
124	924	653
