 	X	Y
1	894	495
2	813	625
3	257	799
4	755	997
5	975	166
6	893	476
7	270	809
8	761	985
9	250	796
10	591	624
11	810	598
12	816	1043
13	883	497
14	907	498
15	885	160
16	845	994
17	398	785
18	893	1042
19	284	809
20	920	1043
21	862	1023
22	834	1025
23	920	1019
24	881	979
25	941	303
26	208	788
27	950	1044
28	244	764
29	818	633
30	815	959
31	201	1043
32	783	1020
33	962	1044
34	888	1028
35	272	1016
36	744	995
37	969	83
38	747	955
39	647	1049
40	862	1044
41	748	1023
42	797	1001
43	864	976
44	729	689
45	647	1025
46	847	1041
47	795	947
48	709	1010
49	230	1002
50	737	1042
51	726	1044
52	254	1044
53	861	617
54	775	974
55	673	1027
56	676	1043
57	614	1031
58	923	589
59	773	936
60	215	809
61	801	894
62	348	1004
63	716	698
