 	X	Y
1	656	48
2	655	63
3	745	44
4	663	49
5	745	33
6	786	22
7	648	44
8	669	48
9	648	72
10	642	60
11	740	45
12	727	53
13	663	67
14	770	6
15	742	52
16	543	641
17	730	61
18	780	24
19	630	63
20	635	66
21	757	46
22	674	146
23	632	123
24	576	188
25	679	155
26	802	3
27	796	12
28	533	646
29	579	203
30	809	3
31	638	93
32	508	631
33	665	152
34	778	3
35	750	29
36	775	33
37	784	34
38	572	210
39	604	147
40	734	77
41	761	32
42	655	331
43	625	81
44	661	182
45	821	4
46	721	136
47	532	624
48	725	75
49	868	1034
50	29	535
51	758	497
52	776	45
53	711	79
54	748	1045
55	705	1043
56	786	5
57	210	277
58	205	271
59	175	998
60	207	1043
61	917	1046
62	499	640
63	643	41
64	0	681
65	932	995
66	663	651
67	763	49
68	489	663
69	801	50
70	905	1022
71	920	108
72	685	1022
73	663	1001
74	625	94
75	737	1018
76	887	156
77	664	1027
78	0	202
79	740	63
80	927	108
81	703	629
82	889	1021
83	644	129
84	602	168
85	196	7
86	652	1043
87	860	999
88	706	99
89	208	692
90	890	990
91	777	978
92	834	29
93	609	1041
94	875	988
95	718	1004
96	945	960
97	909	1002
98	0	660
99	709	26
100	749	994
101	900	967
102	681	639
103	768	1049
104	726	94
105	655	162
106	871	1017
107	694	988
108	853	1024
109	617	7
110	788	1044
111	895	1043
112	239	705
113	830	988
114	543	1
115	879	943
116	668	989
117	657	941
118	468	7
119	726	5
120	715	928
121	778	559
122	800	205
123	587	226
124	875	181
