 	X	Y
1	778	0
2	773	6
3	806	5
4	926	161
5	767	0
6	763	0
7	775	64
8	810	29
9	791	5
10	813	3
11	785	5
12	809	80
13	636	92
14	789	59
15	341	684
16	780	42
17	822	0
18	868	186
19	801	1
20	789	27
21	782	64
22	772	55
23	922	140
24	755	1016
25	828	5
26	745	4
27	912	104
28	932	977
29	641	73
30	898	1028
31	626	1044
32	0	787
33	774	31
34	890	1005
35	731	259
36	802	66
37	820	1012
38	678	1045
39	774	273
40	876	1046
41	793	1044
42	923	1012
43	776	254
44	863	1017
45	788	293
46	826	1044
47	778	1020
48	698	1025
49	781	1043
50	943	1028
51	840	1019
52	950	1045
53	735	958
54	885	1044
55	885	954
56	647	1046
57	897	125
58	742	1023
59	716	1041
60	824	952
61	680	969
62	696	997
63	675	1004
64	828	304
65	867	1043
66	914	1028
67	769	1026
68	967	122
69	811	932
70	931	150
71	636	999
72	736	922
73	364	770
74	732	981
75	687	1041
76	253	766
77	202	1003
78	885	1021
79	803	1007
80	880	451
81	879	962
82	919	97
83	178	1025
84	749	1043
85	624	1022
86	681	671
87	809	974
88	843	965
89	828	971
90	784	1005
91	846	1024
92	896	969
93	727	1046
94	954	358
95	649	1020
96	647	70
97	739	309
98	745	962
99	941	100
100	900	479
101	748	1015
102	766	977
103	824	25
104	909	150
105	973	1022
106	876	565
107	845	303
108	0	753
109	201	1045
110	746	331
111	399	673
112	958	156
