 	X	Y
1	651	63
2	656	47
3	653	38
4	645	51
5	646	73
6	757	57
7	785	7
8	781	12
9	665	57
10	778	5
11	832	8
12	676	145
13	631	116
14	643	124
15	826	9
16	772	0
17	683	127
18	805	25
19	778	26
20	751	49
21	806	5
22	825	28
23	740	62
24	785	38
25	770	31
26	662	22
27	797	41
28	660	31
29	814	28
30	634	57
31	650	331
32	631	94
33	624	74
34	821	17
35	752	429
36	813	6
37	764	55
38	545	632
39	768	20
40	0	677
41	741	990
42	774	39
43	738	939
44	662	75
45	576	191
46	799	5
47	752	161
48	791	35
49	664	176
50	671	1043
51	627	85
52	673	160
53	927	113
54	796	338
55	901	1044
56	236	708
57	536	658
58	509	628
59	582	616
60	681	1044
61	899	1024
62	656	319
63	792	328
64	682	171
65	524	637
66	802	53
67	638	1012
68	625	94
69	767	119
70	651	96
71	680	691
72	591	648
73	681	640
74	921	111
75	764	101
76	554	698
77	302	713
78	835	50
79	886	162
80	734	132
81	755	196
82	828	1021
83	660	150
84	753	1045
85	743	1017
86	945	1042
87	674	1024
88	746	65
89	933	1041
90	710	1045
91	814	1043
92	730	911
93	750	200
94	847	980
95	773	985
96	708	1021
97	0	707
98	956	985
99	810	1013
100	835	1044
101	871	1005
102	831	896
103	686	999
104	821	60
105	726	996
106	668	997
107	0	653
108	759	131
109	677	955
110	744	51
111	873	188
112	894	1045
113	334	714
114	480	673
115	729	107
116	950	1019
117	705	985
118	647	997
119	965	979
120	965	1042
121	782	1042
122	922	1020
123	735	70
124	867	962
125	231	980
126	939	929
127	172	1042
128	728	1045
129	501	656
130	816	992
131	611	1015
132	511	654
133	780	997
134	728	560
135	882	390
136	597	984
137	737	3
138	612	13
139	904	130
