 	X	Y
1	786	2
2	802	5
3	774	0
4	776	5
5	779	24
6	797	5
7	774	56
8	775	29
9	800	22
10	792	49
11	817	6
12	786	28
13	817	31
14	783	35
15	776	260
16	769	45
17	923	77
18	804	71
19	764	8
20	908	1040
21	867	193
22	748	1011
23	827	3
24	784	70
25	399	680
26	363	768
27	858	1045
28	967	131
29	873	994
30	898	1044
31	394	694
32	803	50
33	729	969
34	762	1013
35	912	1026
36	679	1016
37	922	152
38	864	1029
39	955	364
40	692	1044
41	885	448
42	897	423
43	236	764
44	926	171
45	917	104
46	848	1025
47	341	687
48	686	1045
49	620	1041
50	347	688
51	761	1045
52	712	987
53	792	1026
54	702	1044
55	692	988
56	784	287
57	755	26
58	767	1045
59	812	54
60	741	1044
61	929	372
62	886	1004
63	196	1046
64	931	997
65	959	164
66	870	962
67	164	1010
68	928	1043
69	848	1044
70	741	1018
71	840	1024
72	904	1025
73	929	1023
74	824	564
75	819	935
76	811	1041
77	721	1021
78	846	947
79	932	114
80	890	1025
81	867	930
82	840	990
83	951	82
84	773	981
85	754	297
86	898	134
87	795	998
88	430	707
89	862	974
90	776	1007
91	807	98
92	927	978
93	429	736
94	924	478
95	833	286
96	818	901
97	0	785
98	887	165
99	404	704
100	259	1048
101	0	760
102	957	139
103	741	625
104	814	325
