 	X	Y
1	808	1010
2	818	1022
3	702	1011
4	809	1000
5	236	1034
6	398	1000
7	240	1043
8	807	1029
9	655	1019
10	696	1042
11	374	1028
12	693	934
13	371	1012
14	703	999
15	392	1005
16	460	1045
17	710	999
18	812	978
19	627	1045
20	715	1005
21	669	1047
22	385	999
23	820	1009
24	648	1045
25	380	1018
26	814	992
27	389	991
28	654	1045
29	824	994
30	704	1042
31	401	1028
32	412	1024
33	390	980
34	632	1028
35	621	1046
36	466	1045
37	366	1018
38	663	1025
39	646	1027
40	387	1024
41	407	1020
42	284	1043
43	617	1018
44	407	999
45	709	1045
46	455	1029
47	464	1026
48	292	1025
49	639	1028
50	699	1021
51	820	972
52	669	958
53	626	1007
54	711	980
55	816	1049
56	642	1041
57	651	976
58	825	1017
59	615	1002
60	652	994
61	289	1015
62	839	1021
63	402	980
64	608	1046
65	675	951
66	637	993
67	722	1021
68	236	1016
69	721	1044
70	645	974
71	795	972
72	666	1006
73	273	1014
74	681	1049
75	692	913
76	828	1042
77	383	1046
78	242	1014
79	839	991
80	764	1045
