 	X	Y
1	788	41
2	771	51
3	793	36
4	792	52
5	779	6
6	795	27
7	791	1
8	776	61
9	774	2
10	776	39
11	798	62
12	922	498
13	764	5
14	886	469
15	807	4
16	769	5
17	970	162
18	863	1044
19	913	102
20	767	29
21	596	623
22	904	446
23	890	481
24	657	1042
25	713	1023
26	245	781
27	614	630
28	860	1018
29	803	976
30	259	787
31	878	477
32	935	290
33	959	97
34	694	1045
35	647	963
36	730	681
37	924	102
38	936	389
39	732	1005
40	877	1027
41	905	469
42	400	705
43	883	1043
44	770	1022
45	841	1020
46	808	1007
47	906	1048
48	742	1045
49	738	633
50	672	1024
51	877	1006
52	622	1046
53	797	999
54	830	953
55	815	1044
56	757	953
57	642	1021
58	911	1011
59	841	950
60	723	980
61	674	985
62	891	456
63	871	1045
64	725	1044
65	211	765
66	430	715
67	909	961
68	868	950
69	166	1042
70	212	1015
71	817	624
72	815	1000
73	278	796
74	927	384
75	655	1017
76	753	984
77	737	1029
78	240	1022
79	883	152
80	970	93
81	747	950
82	939	1044
83	891	988
84	627	1017
85	925	1021
86	643	976
87	781	967
88	916	423
89	288	792
90	712	939
91	897	957
92	820	551
93	683	946
94	964	999
95	935	340
96	386	766
