 	X	Y
1	801	3
2	927	154
3	643	93
4	813	3
5	774	5
6	779	4
7	639	109
8	776	26
9	821	0
10	640	76
11	808	25
12	772	46
13	813	89
14	789	57
15	786	9
16	816	33
17	801	27
18	635	72
19	761	5
20	823	49
21	776	246
22	778	72
23	885	1025
24	707	1024
25	893	991
26	779	52
27	917	144
28	767	1043
29	782	251
30	910	149
31	868	184
32	881	1046
33	896	119
34	663	1007
35	922	1025
36	343	672
37	639	988
38	940	1021
39	844	1042
40	709	992
41	843	942
42	871	1021
43	750	0
44	767	25
45	828	302
46	700	1043
47	632	96
48	865	1023
49	773	264
50	203	1020
51	678	665
52	644	1043
53	643	1004
54	959	343
55	941	128
56	726	259
57	827	1019
58	761	945
59	687	1043
60	760	1024
61	875	1003
62	338	696
63	163	1028
64	649	1021
65	838	965
66	848	1004
67	385	694
68	688	1020
69	818	1046
70	731	267
71	862	1044
72	887	441
73	769	904
74	838	523
75	800	1017
76	886	1001
77	747	998
78	745	962
79	766	939
80	907	973
81	802	54
82	652	983
83	748	1019
84	898	140
85	837	25
86	791	1042
87	862	993
88	603	1042
89	184	1018
90	639	693
91	233	757
92	736	1049
93	747	1044
94	728	1015
95	659	1044
96	913	96
97	803	103
98	776	996
99	776	932
100	851	964
101	839	0
102	670	1000
103	194	946
104	866	980
105	836	295
106	928	110
107	870	939
108	966	118
109	921	471
110	633	45
111	789	297
112	921	93
113	584	640
114	741	619
115	0	754
