 	X	Y
1	271	832
2	286	847
3	276	844
4	267	880
5	928	629
6	258	826
7	264	824
8	277	824
9	280	839
10	924	623
11	279	867
12	273	869
13	896	636
14	720	720
15	267	854
16	793	763
17	723	728
18	940	659
19	287	869
20	260	901
21	713	720
22	906	1014
23	763	1044
24	266	906
25	766	998
26	644	824
27	278	794
28	270	807
29	827	995
30	727	1022
31	749	1006
32	879	625
33	711	857
34	866	584
35	879	928
36	273	902
37	844	820
38	669	1045
39	735	755
40	871	616
41	810	1021
42	787	1024
43	894	658
44	646	1018
45	866	1020
46	264	934
47	927	650
48	640	855
49	894	617
50	806	1044
51	724	998
52	936	1049
53	834	1022
54	768	791
55	713	745
56	798	995
57	869	1045
58	928	1023
59	257	959
60	810	737
61	878	792
62	790	1044
63	704	864
64	889	610
65	235	1013
66	292	757
67	915	660
68	635	1045
69	807	706
70	270	1043
71	848	981
72	612	1019
73	921	1043
74	735	927
75	969	1044
76	270	758
77	841	1014
78	745	754
79	824	707
80	716	701
81	656	867
82	885	962
83	816	639
84	739	721
85	694	784
86	688	1045
87	916	952
88	775	924
89	170	1028
90	912	597
91	206	1046
92	789	742
93	622	654
