 	X	Y
1	279	876
2	267	856
3	272	871
4	267	873
5	274	838
6	269	834
7	276	855
8	929	680
9	728	753
10	927	653
11	717	881
12	763	887
13	721	726
14	688	833
15	269	891
16	285	891
17	792	755
18	689	852
19	886	623
20	690	808
21	796	766
22	695	827
23	740	855
24	637	900
25	693	859
26	916	613
27	696	850
28	716	719
29	699	813
30	937	640
31	705	833
32	821	736
33	798	869
34	880	797
35	896	709
36	187	909
37	936	1043
38	855	799
39	970	679
40	761	1044
41	698	887
42	770	1021
43	823	984
44	337	1020
45	689	907
46	723	692
47	839	1024
48	857	790
49	848	1041
50	886	972
51	835	1047
52	897	732
53	974	1044
54	787	734
55	450	845
56	929	624
57	893	667
58	712	814
59	861	1025
60	963	695
61	282	914
62	641	861
63	694	794
64	861	999
65	870	848
66	745	976
67	775	892
68	707	742
69	651	918
70	542	933
71	819	721
72	195	1004
73	780	877
74	641	838
75	344	1047
76	914	990
77	886	945
78	814	829
79	656	981
80	709	862
81	872	961
82	736	729
83	835	918
84	886	828
85	919	632
86	861	922
87	918	1010
88	293	993
89	717	991
90	231	1043
91	644	1028
92	760	958
93	168	1001
94	793	995
95	666	962
96	880	640
97	644	1045
98	975	761
99	735	760
100	753	889
101	263	1045
102	810	865
103	241	974
104	697	1044
105	667	1044
106	632	815
107	664	1011
108	753	935
109	815	737
110	694	1021
111	682	930
112	877	839
113	787	895
114	969	791
115	188	1044
116	905	800
117	679	819
118	863	873
