 	X	Y
1	270	829
2	286	841
3	273	837
4	268	881
5	277	842
6	265	823
7	712	755
8	269	855
9	280	826
10	273	870
11	795	774
12	258	823
13	928	625
14	645	828
15	922	617
16	922	997
17	261	848
18	778	1045
19	175	1023
20	379	878
21	287	820
22	784	782
23	829	723
24	748	747
25	756	1007
26	921	1044
27	795	1026
28	712	720
29	883	1043
30	770	1026
31	728	724
32	293	789
33	747	1019
34	781	1006
35	936	1025
36	765	806
37	959	1043
38	275	797
39	723	1044
40	755	909
41	714	1036
42	245	1049
43	628	642
44	649	1047
45	940	660
46	927	665
47	726	1022
48	949	1022
49	903	928
50	265	775
51	717	695
52	719	741
53	870	613
54	886	1022
55	822	718
56	805	699
57	280	759
58	736	767
59	875	1007
60	789	981
61	896	643
62	726	872
63	841	894
64	640	995
65	794	1048
66	919	645
67	741	977
68	606	1000
69	294	998
70	172	1045
71	786	949
72	263	950
73	883	988
74	870	590
75	758	801
76	678	1028
77	623	949
78	389	884
79	333	882
80	204	1020
81	703	1006
