 	X	Y
1	271	833
2	285	848
3	276	846
4	928	631
5	259	828
6	280	840
7	267	879
8	265	828
9	280	868
10	266	906
11	266	853
12	893	659
13	286	870
14	720	720
15	727	733
16	924	624
17	723	728
18	940	660
19	261	895
20	895	643
21	276	807
22	793	763
23	869	589
24	800	1016
25	739	1017
26	265	929
27	807	707
28	780	1045
29	661	1044
30	906	1011
31	269	807
32	841	811
33	706	841
34	768	791
35	713	720
36	690	976
37	895	1043
38	928	1023
39	639	851
40	871	619
41	878	790
42	669	1044
43	717	1041
44	712	858
45	877	978
46	698	1022
47	788	718
48	758	1045
49	894	617
50	895	995
51	686	1046
52	775	1002
53	802	990
54	704	864
55	914	1003
56	735	754
57	267	768
58	805	1044
59	902	636
60	765	996
61	790	1044
62	651	865
63	810	737
64	636	1019
65	868	1044
66	915	659
67	834	1021
68	292	757
69	700	930
70	810	1021
71	815	944
72	787	1023
73	715	701
74	880	1027
75	635	1044
76	827	994
77	879	625
78	847	846
79	800	809
80	880	1005
81	180	1045
82	745	752
83	693	784
84	644	820
85	783	768
86	270	1043
87	734	716
88	775	924
89	379	850
90	816	640
