 	X	Y
1	263	814
2	259	807
3	927	327
4	271	818
5	398	782
6	287	825
7	811	625
8	800	732
9	419	811
10	292	809
11	847	1043
12	601	617
13	933	332
14	803	747
15	887	502
16	215	798
17	911	614
18	801	999
19	277	824
20	892	491
21	809	607
22	283	817
23	209	845
24	599	631
25	829	973
26	707	1025
27	828	905
28	727	704
29	875	1004
30	875	977
31	855	1039
32	894	507
33	860	617
34	918	999
35	867	1028
36	943	637
37	727	1042
38	811	981
39	785	1022
40	826	1045
41	935	995
42	737	1042
43	277	741
44	773	998
45	900	1046
46	891	1044
47	818	957
48	760	958
49	783	885
50	243	1044
51	648	1043
52	766	1026
53	837	998
54	816	646
55	236	1019
56	680	1011
57	300	1044
58	779	977
59	805	1020
60	165	1044
61	926	604
62	189	1049
63	188	925
64	804	645
65	281	873
66	950	1005
67	666	994
68	726	738
69	968	1045
70	805	618
71	918	929
