 	X	Y
1	882	972
2	849	984
3	661	1046
4	839	984
5	888	970
6	704	1028
7	715	1042
8	712	1030
9	908	984
10	398	966
11	390	1010
12	861	889
13	869	904
14	710	1002
15	838	997
16	894	986
17	928	836
18	666	1003
19	368	1028
20	856	896
21	818	1045
22	715	1005
23	876	905
24	644	1044
25	723	1019
26	668	986
27	455	1045
28	656	992
29	646	990
30	709	1017
31	617	1022
32	655	1044
33	742	1045
34	700	929
35	668	967
36	747	1044
37	652	977
38	718	1027
39	235	1049
40	903	967
41	866	874
42	790	1049
43	398	1045
44	364	1044
45	531	1043
46	642	1008
47	662	994
48	696	921
49	857	1003
50	766	1045
51	629	998
52	501	942
53	845	1020
54	396	992
55	671	996
56	375	1047
57	880	1020
58	800	1045
59	616	1045
60	736	1042
61	649	1005
62	356	1046
63	727	1043
64	762	1021
65	705	942
66	610	1049
67	230	1007
68	408	984
69	462	1046
70	568	1043
71	894	1042
72	629	1024
73	506	933
74	918	837
75	871	1043
76	413	1042
77	689	1041
78	432	1045
79	621	998
80	839	1046
81	634	870
82	397	1015
83	880	996
84	492	1044
85	892	1003
86	921	1016
87	953	936
88	645	962
89	716	970
90	809	984
91	635	889
92	874	888
93	407	1014
94	623	867
95	945	1023
96	331	1029
97	539	1023
98	458	1024
99	549	1023
100	785	999
101	926	975
102	866	999
103	698	968
104	465	1003
105	509	956
106	251	1046
107	296	1027
108	245	1015
109	874	1007
110	181	1046
111	468	1017
