 	X	Y
1	719	13
2	726	8
3	504	647
4	651	55
5	502	654
6	495	649
7	698	35
8	498	643
9	655	46
10	539	660
11	741	4
12	654	61
13	529	664
14	511	642
15	675	60
16	531	636
17	697	28
18	682	59
19	690	36
20	679	49
21	730	38
22	534	645
23	689	44
24	539	637
25	622	62
26	651	85
27	551	2
28	664	52
29	575	199
30	526	644
31	644	85
32	709	15
33	749	0
34	565	117
35	563	126
36	643	70
37	732	6
38	28	532
39	624	92
40	680	173
41	723	20
42	637	97
43	703	19
44	621	74
45	669	49
46	522	664
47	210	256
48	581	192
49	546	4
50	662	70
51	736	41
52	502	676
53	684	46
54	721	32
55	660	173
56	510	660
57	0	188
58	556	126
59	642	106
60	679	89
61	69	674
62	762	5
63	702	76
64	746	22
65	788	3
66	182	600
67	668	1024
68	712	990
69	508	672
70	533	684
71	618	671
72	518	689
73	646	117
74	178	298
75	634	74
76	668	71
77	727	1018
78	773	9
79	652	352
80	647	1045
81	469	687
82	779	32
83	198	270
84	906	972
85	685	984
86	654	996
87	672	175
88	717	1028
89	883	1019
90	683	79
91	820	282
92	795	4
93	480	685
94	804	4
95	582	221
96	476	674
97	768	1010
98	749	975
99	692	3
100	832	1022
101	642	950
102	757	30
103	738	1044
104	774	1024
105	914	1042
106	693	152
107	677	312
108	679	1019
109	701	1021
110	801	1042
111	538	0
112	872	1015
113	637	990
114	803	1025
115	794	979
116	632	142
117	775	46
118	543	25
119	905	998
120	752	1025
121	520	9
122	677	1043
123	795	22
124	849	1019
125	542	677
126	235	709
127	744	551
128	764	481
129	558	25
130	706	99
131	725	75
132	815	1046
133	673	8
134	612	42
135	0	642
136	706	1043
137	199	1043
138	566	207
139	725	989
140	649	1031
141	772	976
142	601	154
143	879	983
144	697	621
145	564	91
146	907	1045
147	615	1043
148	653	331
149	875	1045
150	793	994
151	633	47
152	162	1043
153	780	371
154	967	1027
155	864	1045
156	803	52
157	951	1045
158	662	652
159	240	1045
160	680	271
161	926	97
