 	X	Y
1	269	827
2	273	837
3	287	840
4	264	821
5	282	833
6	921	616
7	258	821
8	269	854
9	268	881
10	829	723
11	928	623
12	864	650
13	646	833
14	936	1027
15	784	782
16	747	1019
17	257	910
18	813	643
19	883	1043
20	260	846
21	707	735
22	379	878
23	774	1017
24	796	776
25	712	755
26	265	774
27	824	710
28	628	641
29	216	810
30	291	811
31	275	797
32	755	910
33	678	1028
34	727	722
35	845	1022
36	777	1044
37	871	992
38	800	1043
39	769	1044
40	857	1044
41	895	988
42	808	939
43	293	790
44	276	748
45	903	621
46	175	1023
47	650	1046
48	921	1044
49	805	697
50	922	998
51	723	991
52	715	1039
53	237	1026
54	834	934
55	665	1044
56	863	1020
57	224	997
58	747	743
59	788	999
60	950	993
61	818	1018
62	718	758
63	717	694
64	874	939
65	914	1000
66	864	579
67	885	603
68	726	700
69	948	1025
70	641	996
71	714	973
72	779	973
73	639	847
74	255	966
75	736	767
76	859	944
77	777	909
78	723	1025
79	942	654
80	171	1045
81	867	626
82	959	1043
83	333	881
84	893	686
85	904	525
