 	X	Y
1	768	0
2	782	2
3	799	3
4	794	2
5	788	2
6	786	58
7	776	2
8	890	482
9	905	486
10	795	66
11	255	793
12	261	796
13	782	1017
14	941	296
15	248	789
16	792	55
17	696	1020
18	807	1023
19	803	27
20	842	1007
21	885	488
22	809	16
23	797	1046
24	772	1012
25	762	997
26	211	775
27	894	984
28	591	616
29	267	797
30	866	966
31	607	778
32	842	983
33	766	939
34	902	1019
35	885	152
36	743	1045
37	881	465
38	766	1044
39	821	995
40	767	1024
41	935	402
42	795	42
43	750	5
44	776	25
45	852	959
46	926	1032
47	875	1016
48	879	1044
49	234	777
50	836	962
51	703	1009
52	931	302
53	871	1043
54	624	663
55	746	1017
56	632	1013
57	599	622
58	919	303
59	957	67
60	286	800
61	970	167
62	691	999
63	0	786
64	0	769
65	801	960
66	942	344
67	949	1045
68	758	951
69	889	945
70	952	1019
71	210	1018
72	793	900
73	907	967
74	724	685
75	861	609
