 	X	Y
1	273	847
2	284	863
3	274	894
4	266	857
5	265	838
6	728	749
7	265	900
8	277	913
9	886	623
10	280	877
11	930	647
12	925	637
13	918	603
14	687	846
15	741	863
16	273	871
17	821	741
18	855	809
19	272	823
20	894	634
21	786	746
22	881	616
23	793	740
24	720	704
25	703	843
26	709	874
27	764	1041
28	715	729
29	967	646
30	728	780
31	711	839
32	289	925
33	812	847
34	697	834
35	928	697
36	707	821
37	899	723
38	892	617
39	867	848
40	690	878
41	263	931
42	652	1045
43	936	630
44	698	900
45	286	907
46	943	1044
47	681	833
48	941	667
49	796	767
50	899	658
51	821	1015
52	839	980
53	806	1018
54	645	1043
55	690	1019
56	856	1001
57	453	867
58	823	1000
59	919	1019
60	894	661
61	740	841
62	953	999
63	827	862
64	816	739
65	781	1044
66	715	714
67	911	614
68	831	845
69	817	1045
70	868	1015
71	194	1044
72	451	843
73	831	984
74	740	937
75	819	719
76	735	735
77	275	788
78	192	1028
79	722	760
80	757	1005
81	836	998
82	694	794
83	620	918
84	783	770
85	776	1027
86	182	928
87	881	1043
88	718	1043
89	761	971
90	240	1027
91	755	1021
92	699	961
93	778	958
94	280	963
95	683	944
96	933	1043
97	797	1021
98	743	955
99	633	823
100	287	759
101	735	952
102	692	915
103	666	976
104	667	1024
105	274	947
106	641	870
107	963	674
108	613	906
109	876	848
110	650	977
111	643	837
