 	X	Y
1	656	47
2	654	62
3	740	63
4	643	55
5	778	4
6	757	51
7	646	74
8	751	49
9	649	36
10	778	26
11	679	148
12	770	31
13	632	117
14	664	60
15	785	8
16	826	7
17	740	45
18	733	78
19	576	180
20	683	126
21	744	50
22	668	49
23	738	939
24	808	3
25	781	14
26	791	34
27	784	35
28	635	61
29	631	70
30	0	677
31	651	333
32	631	94
33	813	6
34	573	195
35	805	25
36	798	41
37	509	629
38	829	30
39	768	20
40	545	635
41	643	125
42	533	645
43	752	430
44	773	42
45	762	37
46	927	112
47	791	19
48	921	109
49	0	653
50	753	1043
51	733	62
52	814	27
53	796	338
54	668	633
55	582	616
56	579	201
57	902	1043
58	625	94
59	653	9
60	780	997
61	814	1043
62	793	1014
63	686	1000
64	764	51
65	863	976
66	710	1045
67	524	637
68	530	625
69	682	171
70	735	134
71	663	175
72	727	1023
73	537	657
74	236	709
75	730	112
76	647	997
77	624	74
78	728	560
79	886	160
80	720	110
81	0	204
82	800	1018
83	764	98
84	660	152
85	626	1042
86	795	999
87	831	896
88	835	31
89	626	65
90	681	641
91	554	700
92	802	1007
93	594	1021
94	722	1044
95	674	1023
96	671	1043
97	511	654
98	665	150
99	0	707
100	659	3
101	917	960
102	924	1006
103	638	1012
104	816	992
105	584	221
106	885	1042
107	678	951
108	795	1044
109	260	684
110	748	158
111	741	991
112	933	1041
113	945	1042
114	769	949
115	821	966
116	633	977
117	481	674
118	880	986
119	867	962
120	231	979
121	776	549
122	295	724
123	799	208
124	262	1037
125	468	10
126	730	910
127	825	866
128	334	716
129	242	999
130	874	184
131	741	186
132	601	152
133	882	389
134	895	124
