 	X	Y
1	893	497
2	258	801
3	270	810
4	813	626
5	975	167
6	882	504
7	283	811
8	755	996
9	894	476
10	208	788
11	294	801
12	833	1024
13	815	959
14	933	308
15	736	1042
16	861	1043
17	729	689
18	923	316
19	864	975
20	853	1015
21	822	608
22	941	303
23	590	625
24	710	1042
25	277	816
26	411	808
27	888	1028
28	885	166
29	932	1019
30	823	989
31	909	500
32	795	1042
33	744	994
34	215	810
35	398	783
36	240	790
37	221	1046
38	244	765
39	824	944
40	783	1021
41	759	971
42	807	923
43	816	1043
44	918	1008
45	948	1021
46	797	1000
47	648	1045
48	723	737
49	701	780
50	920	502
51	802	893
52	666	1044
53	950	1044
54	719	1014
55	219	1026
56	255	1045
57	626	1044
58	676	783
59	622	947
60	743	931
61	861	617
62	664	902
63	706	944
64	946	624
