 	X	Y
1	924	656
2	280	862
3	275	830
4	269	864
5	270	838
6	682	816
7	717	874
8	263	830
9	883	830
10	286	859
11	811	850
12	902	723
13	922	636
14	816	721
15	888	822
16	896	642
17	635	883
18	828	729
19	790	750
20	928	674
21	913	626
22	699	834
23	717	703
24	696	806
25	264	879
26	889	615
27	709	848
28	743	1000
29	735	744
30	944	633
31	897	737
32	694	824
33	747	911
34	241	919
35	719	892
36	882	806
37	782	776
38	785	768
39	723	701
40	591	951
41	285	880
42	717	732
43	922	608
44	205	932
45	168	992
46	721	720
47	733	963
48	829	989
49	350	933
50	639	869
51	668	972
52	755	1041
53	866	993
54	892	662
55	705	885
56	269	889
57	787	903
58	974	774
59	654	1044
60	758	987
61	745	885
62	777	1024
63	832	1023
64	809	1046
65	193	936
66	289	915
67	740	962
68	903	640
69	888	923
70	890	676
71	723	974
72	720	759
73	261	864
74	635	1024
75	750	1009
76	294	932
77	739	933
78	742	979
79	895	960
80	626	890
81	813	902
82	730	779
83	714	941
84	638	936
85	915	1012
86	912	1022
87	680	1024
88	842	994
89	584	957
90	871	948
91	304	1045
92	850	1049
93	251	964
94	886	1012
95	204	957
96	260	1004
97	800	944
98	203	908
99	777	745
100	441	861
101	716	978
102	644	824
103	689	934
104	802	743
105	648	1000
106	633	956
107	460	1046
108	961	684
