 	X	Y
1	280	870
2	926	655
3	274	836
4	267	862
5	729	760
6	268	831
7	695	819
8	282	848
9	889	631
10	271	873
11	273	860
12	886	636
13	688	824
14	929	680
15	796	766
16	884	842
17	709	861
18	890	672
19	914	625
20	287	845
21	683	826
22	279	895
23	721	727
24	695	849
25	902	724
26	934	662
27	724	695
28	839	1024
29	688	904
30	693	871
31	715	871
32	639	832
33	717	699
34	939	651
35	642	858
36	278	936
37	869	837
38	709	905
39	872	1043
40	781	853
41	741	912
42	269	891
43	854	991
44	821	733
45	897	734
46	637	910
47	944	981
48	855	796
49	277	772
50	884	608
51	975	766
52	287	896
53	880	799
54	791	881
55	678	921
56	442	855
57	575	931
58	677	969
59	711	976
60	256	1042
61	853	1045
62	763	871
63	879	829
64	585	920
65	921	634
66	777	1045
67	726	977
68	708	736
69	185	891
70	807	942
71	723	1042
72	785	991
73	789	1013
74	877	992
75	668	1045
76	786	722
77	911	595
78	242	1002
79	657	1049
80	283	940
81	190	1002
82	886	792
83	824	1019
84	781	918
85	736	736
86	937	996
87	847	949
88	835	1000
89	920	999
90	672	1028
91	751	1023
92	466	920
93	654	1024
94	809	865
95	771	964
96	778	906
97	945	1045
98	627	938
99	645	992
100	882	935
101	218	909
102	216	1044
103	793	933
104	192	1045
105	960	666
106	208	887
107	611	888
