 	X	Y
1	788	40
2	790	0
3	770	40
4	781	0
5	800	0
6	780	52
7	796	5
8	792	52
9	771	51
10	773	3
11	793	36
12	0	791
13	768	2
14	803	44
15	800	58
16	889	477
17	806	4
18	780	29
19	596	626
20	598	616
21	246	783
22	813	5
23	254	789
24	934	296
25	902	479
26	922	500
27	886	968
28	891	966
29	260	788
30	724	1023
31	790	67
32	926	1043
33	623	636
34	812	1026
35	809	1042
36	883	484
37	877	982
38	810	943
39	705	1026
40	211	769
41	769	1020
42	430	714
43	970	168
44	636	1020
45	800	20
46	287	796
47	221	1014
48	883	1044
49	940	1043
50	651	1045
51	724	981
52	770	902
53	815	1000
54	782	1021
55	865	627
56	732	1005
57	740	647
58	861	967
59	865	1015
60	903	1009
61	765	1007
62	905	448
63	708	1007
64	950	1019
65	614	635
66	787	1002
67	757	1025
68	947	974
69	889	1016
70	904	923
71	913	104
72	893	923
73	674	1014
74	260	1019
75	908	502
76	673	1043
77	671	956
78	788	1030
79	256	1044
80	732	939
81	808	983
82	762	990
83	943	405
84	952	1006
85	393	721
86	399	706
87	817	671
88	880	157
89	662	1025
90	725	1045
91	615	674
92	191	1043
93	956	90
