 	X	Y
1	651	63
2	654	36
3	784	5
4	660	50
5	646	49
6	664	56
7	780	12
8	676	145
9	832	8
10	623	71
11	662	31
12	758	61
13	680	137
14	639	68
15	764	61
16	825	18
17	792	4
18	805	4
19	679	691
20	821	18
21	825	27
22	792	327
23	785	41
24	670	1042
25	632	113
26	576	191
27	644	124
28	651	323
29	752	161
30	662	75
31	545	630
32	783	30
33	627	86
34	634	56
35	797	42
36	814	28
37	805	25
38	751	73
39	797	24
40	634	88
41	889	1008
42	777	56
43	682	163
44	511	623
45	837	6
46	927	116
47	806	40
48	799	5
49	536	658
50	767	990
51	793	53
52	741	990
53	770	1026
54	904	997
55	678	1041
56	774	37
57	574	206
58	751	428
59	859	1005
60	651	95
61	755	196
62	591	648
63	522	614
64	921	114
65	744	972
66	664	178
67	873	189
68	930	1045
69	782	1041
70	802	55
71	898	1022
72	302	711
73	871	1005
74	0	706
75	847	1020
76	685	1021
77	671	971
78	907	1010
79	641	134
80	828	1021
81	681	641
82	668	998
83	734	530
84	885	164
85	904	1022
86	888	991
87	821	60
88	662	1023
89	584	622
90	835	1044
91	817	964
92	772	961
93	0	669
94	727	997
95	626	1004
96	631	988
97	708	1020
98	767	119
99	675	1029
100	724	977
101	658	644
102	808	1045
103	766	254
104	576	165
105	730	274
106	655	154
107	858	1045
108	923	1019
109	752	1044
110	641	1044
111	554	696
112	611	1015
113	734	129
114	695	1003
115	245	653
116	0	691
117	634	1045
118	235	714
119	847	980
120	236	1024
121	722	544
122	952	1008
123	644	999
124	810	1023
125	207	1021
126	649	1022
127	692	990
128	480	672
129	650	958
130	694	914
131	657	3
132	172	1041
133	949	973
134	787	981
135	759	130
136	0	736
137	727	1044
138	737	5
139	826	306
140	881	391
141	903	131
