 	X	Y
1	731	25
2	653	53
3	749	14
4	536	653
5	655	76
6	557	113
7	665	57
8	533	642
9	542	650
10	708	50
11	538	660
12	525	651
13	714	46
14	575	184
15	626	84
16	785	5
17	651	81
18	666	43
19	635	90
20	707	59
21	700	68
22	790	4
23	636	71
24	663	185
25	656	24
26	746	8
27	581	216
28	632	134
29	510	625
30	680	167
31	758	4
32	725	28
33	495	649
34	498	632
35	530	677
36	548	694
37	763	0
38	539	695
39	732	73
40	211	267
41	643	64
42	754	2
43	761	488
44	578	207
45	736	42
46	708	38
47	626	118
48	674	76
49	793	26
50	505	672
51	629	75
52	800	28
53	804	7
54	824	7
55	603	141
56	647	638
57	698	84
58	683	79
59	680	86
60	675	161
61	718	58
62	711	1042
63	506	690
64	689	1046
65	666	165
66	534	704
67	654	1019
68	696	1019
69	754	19
70	741	1011
71	835	1043
72	496	682
73	605	155
74	517	610
75	705	974
76	897	1026
77	742	541
78	207	261
79	817	1029
80	783	26
81	488	640
82	652	348
83	685	1027
84	687	157
85	820	1044
86	949	1044
87	907	983
88	551	2
89	839	6
90	665	29
91	702	1044
92	646	106
93	23	549
94	751	58
95	643	142
96	717	946
97	709	950
98	0	193
99	735	0
100	693	595
101	644	28
102	200	277
103	681	142
104	708	112
105	815	6
106	751	350
107	786	1046
108	742	59
109	677	305
110	883	1044
111	591	1019
112	876	960
113	864	1025
114	787	884
115	755	44
116	688	125
117	468	0
118	720	1011
119	852	999
120	0	633
121	840	997
122	668	1011
123	681	628
124	646	321
125	676	1043
126	941	1017
127	800	974
128	733	1041
129	751	1045
130	312	711
131	757	981
132	712	187
133	926	102
134	203	0
135	914	1022
136	676	979
137	823	966
138	195	2
139	889	146
140	638	1003
141	524	695
142	663	632
143	229	710
144	707	168
145	324	724
146	521	13
