 	X	Y
1	271	831
2	286	843
3	268	880
4	276	843
5	264	823
6	280	827
7	273	870
8	928	627
9	712	754
10	258	825
11	924	622
12	645	826
13	269	855
14	723	727
15	713	720
16	262	849
17	763	1044
18	795	773
19	897	635
20	726	1022
21	286	821
22	266	903
23	940	659
24	866	1020
25	766	998
26	765	805
27	749	1006
28	921	1043
29	781	1006
30	870	614
31	276	801
32	287	869
33	749	747
34	778	1045
35	260	902
36	719	741
37	756	1007
38	922	997
39	795	1026
40	264	935
41	879	929
42	645	1018
43	908	1025
44	959	1042
45	885	962
46	807	1044
47	865	583
48	770	1026
49	235	1013
50	270	806
51	226	1044
52	798	995
53	280	759
54	643	866
55	733	1011
56	293	788
57	786	762
58	882	1046
59	827	994
60	635	844
61	806	701
62	943	987
63	883	988
64	682	921
65	879	624
66	772	989
67	223	1026
68	820	956
69	723	1044
70	175	1022
71	607	1001
72	798	754
73	196	1047
74	253	938
75	633	1026
76	917	951
77	948	965
78	886	1022
79	824	707
80	265	1015
81	764	897
82	656	867
83	727	848
84	736	758
85	622	653
86	694	783
