 	X	Y
1	657	47
2	779	3
3	626	66
4	823	41
5	652	87
6	772	0
7	651	45
8	778	19
9	646	81
10	631	96
11	926	134
12	830	39
13	647	59
14	787	9
15	814	58
16	797	7
17	782	16
18	834	37
19	806	62
20	801	7
21	651	63
22	807	0
23	631	83
24	630	58
25	767	7
26	646	110
27	787	53
28	652	103
29	836	5
30	720	1011
31	815	48
32	801	80
33	0	688
34	811	6
35	726	259
36	795	68
37	897	145
38	625	86
39	730	1022
40	837	45
41	778	44
42	885	996
43	797	35
44	582	634
45	762	1025
46	0	718
47	799	1044
48	717	1043
49	303	720
50	891	987
51	671	996
52	347	674
53	932	133
54	775	1023
55	625	108
56	841	1043
57	835	1026
58	812	1045
59	667	681
60	728	248
61	338	679
62	618	1043
63	773	60
64	687	1045
65	844	1023
66	947	1042
67	629	1045
68	760	1002
69	793	182
70	737	980
71	873	1044
72	890	112
73	786	228
74	673	656
75	826	1000
76	374	661
77	771	315
78	835	994
79	713	992
80	312	726
81	815	21
82	764	1046
83	850	1043
84	668	1044
85	881	176
86	764	993
87	920	1024
88	930	1017
89	640	1007
90	812	1019
91	863	948
92	773	1046
93	671	1021
94	244	668
95	198	1047
96	943	948
97	760	977
98	639	743
99	195	1024
100	697	970
101	588	1022
102	824	293
103	913	882
104	777	179
105	959	325
106	618	14
107	575	187
