       Z  Symbol      Ka     Ka1     Ka2      Kb     Kb1     Kb2     La1     Lb1     Lb2     Lg1     Lg2     Lg3     Lg4      Ll
      51      Sb  26.274  26.355  26.109  29.851  29.723  30.387   3.604   3.843   4.100   4.347   4.560   4.600   4.697   3.188
      52      Te  27.380  27.468  27.200  31.128  30.993  31.698   3.769   4.029   4.301   4.570   4.829   4.829   4.937   3.336
      53       I  28.512  28.607  28.315  32.437  32.292  33.016   3.937   4.220   4.507   4.800   5.066   5.066   5.185   3.485
      54      Xe  29.669  29.774  29.485  33.777  33.644  34.446   4.109   4.422   4.720   5.036   0.000   0.000   0.000   0.000
      55      Cs  30.854  30.968  30.623  35.149  34.984  35.819   4.286   4.619   4.935   5.280   5.542   5.553   5.703   3.795
      56      Ba  32.065  32.188  31.815  36.553  36.376  37.255   4.465   4.827   5.156   5.531   5.797   5.809   5.973   3.954
      57      La  33.302  33.436  33.033  37.986  37.799  38.728   4.650   5.041   5.383   5.789   6.060   6.074   6.252   4.124
      58      Ce  34.569  34.714  34.276  39.453  39.255  40.231   4.839   5.261   5.612   6.052   6.325   6.341   6.528   4.288
      59      Pr  35.864  36.020  35.548  40.953  40.746  41.772   5.033   5.488   5.849   6.322   6.598   6.616   6.815   4.453
      60      Nd  37.185  37.355  36.845  42.484  42.269  43.298   5.229   5.721   6.088   6.602   6.883   6.902   7.107   4.633
      61      Pm  38.535  38.718  38.160  44.049  43.945  44.955   5.432   5.960   6.338   6.891   0.000   0.000   0.000   0.000
      62      Sm  39.914  40.111  39.523  45.649  45.400  46.553   5.635   6.205   6.585   7.180   7.467   7.487   7.714   4.995
      63      Eu  41.323  41.535  40.877  47.283  47.027  48.241   5.845   6.455   6.842   7.478   7.768   7.796   8.030   5.177
      64      Gd  42.761  42.989  42.280  48.949  48.718  49.961   6.056   6.712   7.102   7.788   8.087   8.105   8.355   5.362
      65      Tb  44.229  44.474  43.737  50.650  50.391  51.737   6.272   6.977   7.365   8.104   8.398   8.423   8.685   5.546
      66      Dy  45.728  45.991  45.193  52.384  52.178  53.491   6.494   7.246   7.634   8.418   8.714   8.753   9.020   5.743
      67      Ho  47.257  47.539  46.686  54.155  53.934  55.292   6.719   7.524   7.910   8.748   9.051   9.087   9.374   5.943
      68      Er  48.818  49.119  48.205  55.963  55.690  57.088   6.947   7.809   8.188   9.089   9.385   9.431   9.722   6.152
      69      Tm  50.410  50.733  49.762  57.806  57.576  58.969   7.179   8.100   8.467   9.424   9.730   9.779  10.084   6.342
      70      Yb  52.035  52.380  51.326  59.687  59.352  60.959   7.414   8.400   8.757   9.779  10.090  10.143  10.460   6.546
      71      Lu  53.693  54.061  52.959  61.607  61.282  62.946   7.654   8.708   9.047  10.142  10.460  10.511  10.843   6.753
      72      Hf  55.382  55.781  54.579  63.562  63.209  64.936   7.898   9.021   9.346  10.514  10.834  10.891  11.233   6.960
